Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
68;24-02-202313:17:35;62;99;38;5769.199;1905;169.872;55;52.604;4300;12985;43.8;25.551;75.2;Bazowy
69;24-02-202313:17:36;63;99;38;5769.199;1905;169.776;46;52.344;4299.999;13076;44;24.896;75.1;Bazowy
70;24-02-202313:17:37;63;99;39;5769.199;1905;168.538;49;53.048;4299.999;13037;43.8;24.926;75.1;Bazowy
71;24-02-202313:17:54;58;98;44;5753.199;1935;160.526;54;77.083;4299.999;12702;35.9;31.138;78.2;Bazowy
72;24-02-202313:17:55;58;98;43;5753.199;1920;157.792;54;80.99;4300;12746;37.6;31.609;78.1;Bazowy
73;24-02-202313:17:56;58;98;41;5753.199;1920;153.381;56;79.731;4300;12758;36.8;33.287;78.1;Bazowy
74;24-02-202313:17:57;59;98;41;5753.199;1912;158.549;58;80.171;4299.999;12782;36.9;30.7;78;Bazowy
75;24-02-202313:17:58;59;98;44;5753.199;1920;161.274;55;81.771;4299.999;12898;37.4;29.483;78;Bazowy
76;24-02-202313:17:59;59;98;42;5753.199;1920;158.558;50;82.031;4299.999;12912;37.6;36.495;77.9;Bazowy
77;24-02-202313:18:00;59;98;43;5753.199;1920;161.208;53;82.292;4299.999;12920;36.3;35.024;77.9;Bazowy
78;24-02-202313:18:01;59;98;42;5753.199;1920;159.945;53;79.475;4300;12889;36.2;30.83;77.8;Bazowy
79;24-02-202313:18:02;59;98;42;5753.199;1920;157.563;53;83.073;4300;13012;36.3;34.948;77.8;Bazowy
80;24-02-202313:18:03;60;98;43;5753.199;1920;159.561;53;83.873;4299.999;13007;36.3;32.883;77.7;Bazowy
81;24-02-202313:18:04;60;98;43;5753.199;1920;161.1;53;87.24;4299.999;12994;36.9;37.339;77.7;Bazowy
82;24-02-202313:18:05;60;98;43;5753.199;1920;161.397;53;83.333;4299.999;12966;36.9;34.395;77.6;Bazowy
83;24-02-202313:18:06;60;98;44;5753.199;1920;161.001;54;85.417;4299.999;13045;37.1;33.092;77.6;Bazowy
84;24-02-202313:18:07;60;98;42;5753.199;1920;162.109;54;80.208;4300;13041;37.2;35.358;77.6;Bazowy
85;24-02-202313:18:08;60;98;42;5753.199;1920;160.829;58;83.594;4299.999;13011;37.1;30.572;77.5;Bazowy
86;24-02-202313:18:09;60;98;43;5753.199;1920;161.311;53;72.135;4299.999;13113;37.1;37.763;77.5;Bazowy
87;24-02-202313:18:10;60;98;43;5753.199;1920;161.935;55;76.042;4299.999;13089;37.4;28.834;77.4;Bazowy
88;24-02-202313:18:11;60;98;41;5753.199;1920;158.534;53;71.875;4299.999;13063;37.4;28.748;77.4;Bazowy
89;24-02-202313:18:12;60;98;42;5753.199;1920;158.683;54;73.438;4299.999;13031;37.3;31.834;77.3;Bazowy
90;24-02-202313:18:13;61;98;42;5753.199;1920;162.877;54;77.604;4299.999;13147;37.4;31.365;77.3;Bazowy
91;24-02-202313:18:14;61;98;41;5753.199;1920;160.71;54;86.198;4299.999;13124;37.4;29.334;77.2;Bazowy
92;24-02-202313:18:15;61;98;41;5753.199;1912;156.52;54;85.417;4300.001;13084;36.9;31.315;77.2;Bazowy
93;24-02-202313:18:16;61;98;42;5753.199;1920;161.411;54;84.896;4299.998;13047;37.2;33.303;77.1;Bazowy
94;24-02-202313:18:17;61;98;43;5753.199;1920;163.011;54;79.688;4299.998;13157;37.4;28.32;77.1;Bazowy
95;24-02-202313:18:42;56;99;41;5865.199;1935;161.776;54;77.865;4299.999;12718;42;31.019;81.2;Bazowy
96;24-02-202313:18:43;57;98;41;5865.199;1935;158.85;53;75.781;4300;12850;41.7;28.177;81.2;Bazowy
97;24-02-202313:18:44;57;99;40;5865.199;1927;159.54;57;78.906;4299.998;12901;41.6;28.401;81.1;Bazowy
98;24-02-202313:18:45;57;99;41;5881.199;1920;162.085;55;71.778;4300;12936;42.2;27.046;81.1;Bazowy
99;24-02-202313:18:46;58;99;41;5881.199;1935;163.187;54;83.344;4300;12981;42.3;27.157;81;Bazowy
100;24-02-202313:18:47;57;99;40;5881.199;1935;160.319;56;82.552;4300;13104;42.3;27.964;81;Bazowy
101;24-02-202313:18:48;58;99;41;5881.199;1935;160.434;50;78.705;4299.995;13118;42.9;27.707;81;Bazowy
102;24-02-202313:18:49;58;99;41;5881.199;1935;162.765;56;74.091;4300.002;13090;42.6;28.439;80.9;Bazowy
103;24-02-202313:18:50;58;98;40;5881.199;1935;160.186;57;83.067;4300.002;13143;42.1;26.608;80.9;Bazowy
104;24-02-202313:18:51;58;99;41;5881.199;1920;161.976;58;71.875;4300;13217;42.2;28.721;80.8;Bazowy
105;24-02-202313:18:52;59;99;41;5881.199;1920;162.759;54;81.229;4299.999;13208;42.6;27.901;80.8;Bazowy
