Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
79;24-02-202316:05:51;60;99;28;6035.09;1920;139.217;54;79.427;4300.001;12578;51.9;22.359;50.1;Base
80;24-02-202316:05:52;60;100;28;6037.977;1920;139.61;54;75.521;4300.001;12536;51.7;21.407;50.1;Base
81;24-02-202316:05:53;60;98;27;6037.977;1920;139.692;54;77.372;4300.001;12503;52.3;21.487;50.1;Base
82;24-02-202316:05:54;60;99;27;6043.352;1920;139.638;57;90.77;4300.002;12503;53.8;22.124;50.1;Base
83;24-02-202316:05:55;60;99;28;6036.465;1920;142.963;53;81.51;4300.002;12594;56.7;19.616;50.1;Base
84;24-02-202316:05:56;60;99;28;6036.465;1920;140.87;56;69.01;4300.002;12555;57.2;20.539;50.1;Base
85;24-02-202316:05:57;60;99;27;6030.23;1920;141.659;56;70.052;4300.001;12507;56.8;19.347;50.2;Base
86;24-02-202316:05:58;60;98;28;6030.23;1920;140.879;52;70.573;4300;12568;55;29.117;50.2;Base
87;24-02-202316:05:59;60;99;28;6032.164;1920;139.459;53;71.452;4300;12597;54.2;24.716;50.2;Base
88;24-02-202316:06:00;60;99;27;6038.703;1920;138.206;57;91.039;4300.001;12491;52.8;22.082;50.2;Base
89;24-02-202316:06:01;60;99;27;6038;1920;141.231;58;97.917;4300.001;12448;51.1;23.925;50.2;Base
90;24-02-202316:06:02;60;99;28;6024.281;1920;142.731;53;80.99;4300;12576;50.6;21.828;50.2;Base
91;24-02-202316:06:03;60;98;28;6028.578;1920;141.625;56;71.615;4300;12528;51.9;23.262;50.2;Base
92;24-02-202316:06:04;60;99;28;6027.57;1920;139.138;58;72.656;4300.002;12402;53.3;20.273;50.2;Base
93;24-02-202316:06:05;60;99;28;6022.434;1920;143.238;55;90.104;4299.997;12378;54;22.184;50.2;Base
94;24-02-202316:06:06;60;99;29;6024.941;1920;149.402;52;67.929;4299.997;12504;53.9;20.024;50.2;Base
95;24-02-202316:06:07;60;99;28;6019.699;1920;141.163;54;72.24;4300.003;12562;52.6;21.262;50.2;Base
96;24-02-202316:06:08;60;99;27;6019.699;1920;142.743;56;86.719;4300.001;12520;51.2;22.192;50.2;Base
97;24-02-202316:06:09;60;99;28;6022.285;1920;144.194;57;70.573;4300.001;12490;51.8;20.557;50.2;Base
