02;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Memoryclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateMin;FramerateAvg;FramerateMax;Framerate1%Low;Fanspeed2;Fantachometer2
80;24-02-202316:33:55;61.000;99.000;25.000;6021.691;1920.000;7500.999;124.502;56.000;98.958;4300.001;12078.000;63.700;19.671;0.000;45.400;451.200;0.000;33.000;1289.000
80;24-02-202316:33:56;61.000;93.000;24.000;6025.039;1920.000;7500.999;117.362;57.000;99.487;4300.001;12031.000;58.500;24.651;0.000;45.500;451.200;0.000;33.000;1299.000
80;24-02-202316:33:57;61.000;98.000;25.000;6016.648;1920.000;7500.999;126.178;56.000;99.736;4300.002;11998.000;63.400;21.375;0.000;45.600;451.200;0.000;33.000;1300.000
80;24-02-202316:33:58;61.000;91.000;24.000;6016.336;1920.000;7500.999;124.510;57.000;99.230;4300.002;12071.000;62.300;24.480;0.000;45.700;451.200;0.000;33.000;1293.000
80;24-02-202316:33:59;61.000;96.000;25.000;6013.672;1920.000;7500.999;126.721;57.000;99.736;4300.001;12128.000;65.800;20.395;0.000;45.800;451.200;0.000;33.000;1293.000
80;24-02-202316:34:00;61.000;99.000;27.000;6006.988;1920.000;7500.999;130.570;55.000;99.479;4300.001;12100.000;69.600;22.509;0.000;45.900;451.200;0.000;33.000;1291.000
80;24-02-202316:34:01;61.000;90.000;24.000;6003.145;1920.000;7500.999;123.350;57.000;97.656;4300.001;12028.000;68.700;19.669;0.000;46.100;451.200;0.000;33.000;1305.000
80;24-02-202316:34:02;61.000;97.000;26.000;6008.117;1920.000;7500.999;124.138;56.000;99.740;4300.001;12102.000;67.800;21.183;0.000;46.200;451.200;0.000;33.000;1292.000
80;24-02-202316:34:03;61.000;99.000;27.000;6006.742;1920.000;7500.999;127.597;56.000;100.000;4300.002;12076.000;69.900;19.449;0.000;46.300;451.200;0.000;33.000;1292.000
80;24-02-202316:34:04;61.000;99.000;26.000;6008.336;1920.000;7500.999;129.044;56.000;98.438;4300.002;12020.000;72.500;16.217;0.000;46.500;451.200;0.000;33.000;1308.000
80;24-02-202316:34:05;61.000;99.000;25.000;6008.336;1920.000;7500.999;129.291;58.000;95.125;4300.001;11945.000;69.500;17.111;0.000;46.600;451.200;0.000;33.000;1300.000
80;24-02-202316:34:06;61.000;99.000;26.000;6016.648;1920.000;7500.999;128.562;57.000;99.471;4300.001;12039.000;67.400;18.082;0.000;46.700;451.200;0.000;33.000;1297.000
80;24-02-202316:34:07;61.000;98.000;26.000;6012.258;1920.000;7500.999;129.711;55.000;83.854;4300.001;11986.000;70.900;17.376;0.000;46.800;451.200;0.000;33.000;1299.000
80;24-02-202316:34:08;61.000;99.000;25.000;6012.133;1920.000;7500.999;128.610;58.000;87.172;4300.001;11974.000;70.900;15.688;0.000;47.000;451.200;0.000;33.000;1299.000
80;24-02-202316:34:09;60.000;99.000;26.000;6047.582;1920.000;7500.999;128.407;57.000;98.149;4300.002;11938.000;65.700;22.181;0.000;47.100;451.200;0.000;33.000;1306.000
80;24-02-202316:34:10;60.000;92.000;24.000;6045.172;1920.000;7500.999;128.124;58.000;99.479;4300.002;11967.000;63.100;20.479;0.000;47.100;451.200;0.000;33.000;1296.000
80;24-02-202316:34:11;60.000;99.000;26.000;6041.523;1920.000;7500.999;126.216;57.000;98.958;4300.001;11941.000;61.900;21.596;0.000;47.200;451.200;0.000;33.000;1296.000
80;24-02-202316:34:12;60.000;98.000;25.000;6047.594;1920.000;7500.999;127.961;55.000;94.792;4300.001;11921.000;60.300;19.555;0.000;47.300;451.200;0.000;33.000;1307.000
80;24-02-202316:34:13;60.000;99.000;25.000;6047.957;1920.000;7500.999;127.718;56.000;86.198;4300.001;11992.000;60.600;19.611;0.000;47.400;451.200;0.000;33.000;1303.000
80;24-02-202316:34:14;60.000;99.000;26.000;6048.020;1920.000;7500.999;126.490;58.000;85.156;4300.001;11994.000;60.800;18.491;0.000;47.400;451.200;0.000;33.000;1298.000
80;24-02-202316:34:15;60.000;97.000;25.000;6052.297;1920.000;7500.999;125.315;57.000;95.052;4300.000;11975.000;60.900;20.393;0.000;47.500;451.200;0.000;33.000;1308.000
80;24-02-202316:34:16;60.000;97.000;25.000;6056.645;1920.000;7500.999;127.478;57.000;99.479;4300.003;11968.000;60.500;21.539;0.000;47.600;451.200;0.000;33.000;1302.000
80;24-02-202316:34:17;60.000;98.000;25.000;6050.625;1920.000;7500.999;126.215;57.000;86.979;4300.001;12052.000;62.600;18.427;0.000;47.600;451.200;0.000;33.000;1300.000
80;24-02-202316:34:18;60.000;99.000;25.000;6050.625;1920.000;7500.999;125.136;56.000;94.531;4300.001;12016.000;63.800;17.481;0.000;47.700;451.200;0.000;33.000;1297.000
80;24-02-202316:34:19;60.000;99.000;25.000;6057.211;1920.000;7500.999;122.913;57.000;99.487;4300.002;12085.000;62.300;21.523;0.000;47.800;451.200;0.000;33.000;1301.000
80;24-02-202316:34:20;60.000;97.000;24.000;6056.500;1920.000;7500.999;125.443;59.000;98.438;4299.999;12050.000;62.600;20.309;0.000;47.900;451.200;0.000;33.000;1305.000
80;24-02-202316:34:21;60.000;99.000;26.000;6047.559;1920.000;7500.999;126.913;57.000;88.632;4300.002;12136.000;63.300;18.388;0.000;48.000;451.200;0.000;33.000;1299.000
80;24-02-202316:34:22;60.000;97.000;25.000;6044.570;1920.000;7500.999;125.733;57.000;90.885;4300.002;12044.000;61.700;19.651;0.000;48.000;451.200;0.000;33.000;1298.000
80;24-02-202316:34:23;59.000;98.000;25.000;6047.582;1920.000;7500.999;125.633;57.000;99.743;4300.000;11982.000;61.300;19.862;0.000;48.100;451.200;0.000;33.000;1297.000
80;24-02-202316:34:24;59.000;99.000;26.000;6044.934;1920.000;7500.999;127.827;57.000;95.052;4300.003;11961.000;62.800;25.203;0.000;48.200;451.200;0.000;33.000;1301.000
80;24-02-202316:34:25;60.000;99.000;27.000;6044.934;1920.000;7500.999;128.371;55.000;95.257;4300.003;12062.000;64.100;17.519;0.000;48.200;451.200;0.000;33.000;1300.000
80;24-02-202316:34:26;59.000;98.000;25.000;6048.422;1920.000;7500.999;121.914;56.000;97.396;4300.000;12025.000;59.300;22.839;0.000;48.300;451.200;0.000;33.000;1297.000
80;24-02-202316:34:27;59.000;99.000;25.000;6052.664;1920.000;7500.999;124.876;58.000;100.000;4300.005;11996.000;57.200;22.357;0.000;48.300;451.200;0.000;33.000;1288.000
80;24-02-202316:34:28;59.000;99.000;26.000;6052.664;1920.000;7500.999;127.883;57.000;89.063;4300.005;12092.000;59.700;20.391;0.000;48.400;451.200;0.000;33.000;1298.000
80;24-02-202316:34:29;59.000;99.000;25.000;6052.148;1920.000;7500.999;125.816;57.000;87.760;4300.001;12067.000;59.900;18.139;0.000;48.400;451.200;0.000;33.000;1295.000
80;24-02-202316:34:30;59.000;99.000;26.000;6050.625;1920.000;7500.999;126.661;59.000;88.021;4300.001;12049.000;58.100;19.855;0.000;48.500;451.200;0.000;33.000;1299.000
80;24-02-202316:34:31;59.000;98.000;25.000;6047.871;1920.000;7500.999;126.336;56.000;91.406;4300.000;12019.000;58.700;18.962;0.000;48.500;451.200;0.000;33.000;1290.000
80;24-02-202316:34:32;59.000;95.000;24.000;6053.836;1920.000;7500.999;122.211;56.000;96.875;4300.005;12158.000;56.500;23.094;0.000;48.600;451.200;0.000;33.000;1300.000
80;24-02-202316:34:33;59.000;99.000;26.000;6050.801;1920.000;7500.999;126.022;58.000;98.438;4300.000;12128.000;59.800;21.103;0.000;48.600;451.200;0.000;33.000;1292.000
80;24-02-202316:34:34;59.000;99.000;27.000;6050.801;1920.000;7500.999;126.705;58.000;91.667;4300.000;12072.000;62.900;20.320;0.000;48.700;451.200;0.000;33.000;1292.000
80;24-02-202316:34:35;59.000;99.000;26.000;6050.801;1920.000;7500.999;123.871;56.000;78.646;4300.000;12084.000;62.000;18.642;0.000;48.800;451.200;0.000;33.000;1292.000
80;24-02-202316:34:36;59.000;99.000;26.000;6056.770;1920.000;7500.999;124.264;57.000;90.104;4300.000;12139.000;60.800;18.353;0.000;48.800;451.200;0.000;33.000;1287.000
80;24-02-202316:34:37;59.000;98.000;25.000;6056.770;1920.000;7500.999;126.950;56.000;85.417;4300.001;12115.000;60.900;19.034;0.000;48.900;451.200;0.000;33.000;1289.000
80;24-02-202316:34:38;59.000;94.000;24.000;6062.785;1920.000;7500.999;125.461;57.000;96.094;4300.001;12119.000;62.700;23.883;0.000;48.900;451.200;0.000;33.000;1286.000
80;24-02-202316:34:39;59.000;99.000;25.000;6062.145;1920.000;7500.999;128.311;56.000;98.204;4300.001;12159.000;65.800;19.874;0.000;49.000;451.200;0.000;33.000;1283.000
80;24-02-202316:34:40;59.000;99.000;26.000;6055.258;1920.000;7500.999;129.762;56.000;86.023;4300.001;12167.000;68.300;17.243;0.000;49.100;451.200;0.000;33.000;1285.000
